Zipcode,City,State,TaxReturnsFiled,EstimatedPopulation,TotalWages,County
01081,WALES,MA,850,1491,33870007,Hampden
01082,WARE,MA,5011,8509,182099561,Hampshire
01083,WARREN,MA,1460,2519,51554337,Worcester
01085,WESTFIELD,MA,18882,32344,785248422,Hampden
01086,WESTFIELD,MA,438,664,12889710,Hampden
01088,WEST HATFIELD,MA,297,458,11050674,Hampshire
01089,WEST SPRINGFIELD,MA,14022,23043,521695821,Hampden
01090,WEST SPRINGFIELD,MA,266,404,8342507,Hampden
01092,WEST WARREN,MA,611,1063,21706065,Worcester
01093,WHATELY,MA,292,476,12920746,Franklin
01095,WILBRAHAM,MA,7168,13107,421777249,Hampden
01096,WILLIAMSBURG,MA,1327,2266,52097479,Hampshire
01098,WORTHINGTON,MA,645,1076,22998526,Hampshire
01101,SPRINGFIELD,MA,991,1531,25082966,Hampden
01103,SPRINGFIELD,MA,1105,1533,27609119,Hampden
01104,SPRINGFIELD,MA,9601,15795,257431945,Hampden
01105,SPRINGFIELD,MA,3745,6054,67938586,Hampden
01106,LONGMEADOW,MA,7734,14332,589918241,Hampden
01107,SPRINGFIELD,MA,3723,6360,90029874,Hampden
01108,SPRINGFIELD,MA,10478,17151,291882920,Hampden
01109,SPRINGFIELD,MA,10947,17988,269944307,Hampden
01118,SPRINGFIELD,MA,7159,11858,266961282,Hampden
01119,SPRINGFIELD,MA,5978,9915,191005823,Hampden
01128,SPRINGFIELD,MA,1464,2510,60921264,Hampden
01129,SPRINGFIELD,MA,3551,5884,130647013,Hampden
01138,SPRINGFIELD,MA,333,509,8160825,Hampden
01151,INDIAN ORCHARD,MA,3729,6080,98439822,Hampden
01201,PITTSFIELD,MA,22181,36002,745722739,Berkshire
01202,PITTSFIELD,MA,815,1186,24714421,Berkshire
01220,ADAMS,MA,4271,6993,130413565,Berkshire
01222,ASHLEY FALLS,MA,392,681,11545093,Berkshire
01223,BECKET,MA,1152,1964,41690946,Berkshire
01225,CHESHIRE,MA,1754,2990,66891519,Berkshire
01226,DALTON,MA,3403,5793,137797105,Berkshire
01230,GREAT BARRINGTON,MA,3686,5873,125478833,Berkshire
01235,HINSDALE,MA,1451,2476,56829904,Berkshire
01236,HOUSATONIC,MA,914,1486,27248680,Berkshire
01237,LANESBORO,MA,1513,2606,57730107,Berkshire
01238,LEE,MA,3030,5056,105631151,Berkshire
01240,LENOX,MA,2488,4020,99379563,Berkshire
01242,LENOX DALE,MA,313,515,9417367,Berkshire
01245,MONTEREY,MA,408,682,12545137,Berkshire
01247,NORTH ADAMS,MA,7136,11730,203584793,Berkshire
01253,OTIS,MA,462,778,12183440,Berkshire
01254,RICHMOND,MA,632,1068,39209955,Berkshire
01255,SANDISFIELD,MA,326,572,10291793,Berkshire
01256,SAVOY,MA,327,574,12435889,Berkshire
01257,SHEFFIELD,MA,1223,2018,38639493,Berkshire
01258,SOUTH EGREMONT,MA,373,591,12236150,Berkshire
01259,SOUTHFIELD,MA,258,438,8079138,Berkshire
01262,STOCKBRIDGE,MA,785,1206,29315283,Berkshire
01266,WEST STOCKBRIDGE,MA,707,1182,27207633,Berkshire
01267,WILLIAMSTOWN,MA,3138,5277,147978542,Berkshire
01270,WINDSOR,MA,385,694,17470373,Berkshire
01301,GREENFIELD,MA,8384,13381,270928214,Franklin
01302,GREENFIELD,MA,285,406,7682335,Franklin
01330,ASHFIELD,MA,791,1345,27789072,Franklin
01331,ATHOL,MA,6133,10562,211059739,Worcester
01337,BERNARDSTON,MA,1420,2438,52276839,Franklin
01339,CHARLEMONT,MA,756,1250,21799312,Franklin
01340,COLRAIN,MA,947,1581,29013390,Franklin
01341,CONWAY,MA,889,1541,38548270,Franklin
01342,DEERFIELD,MA,703,1238,32771477,Franklin
01344,ERVING,MA,711,1247,26393167,Franklin
01349,MILLERS FALLS,MA,424,697,13582461,Franklin
01351,MONTAGUE,MA,1234,2016,46261486,Franklin
01354,GILL,MA,757,1338,29687155,Franklin
01355,NEW SALEM,MA,450,803,16669444,Franklin
01360,NORTHFIELD,MA,1478,2627,57122411,Franklin
01364,ORANGE,MA,3491,6044,109971458,Franklin
01366,PETERSHAM,MA,604,1104,25115744,Worcester
01367,ROWE,MA,253,444,7918161,Franklin
01368,ROYALSTON,MA,606,1081,21813337,Worcester
01370,SHELBURNE FALLS,MA,2105,3439,65890148,Franklin
01373,SOUTH DEERFIELD,MA,2402,4019,101970941,Franklin
01375,SUNDERLAND,MA,1823,2777,65890537,Franklin
01376,TURNERS FALLS,MA,2492,3968,71758690,Franklin
01378,WARWICK,MA,355,611,11890390,Franklin
01379,WENDELL,MA,399,625,12797150,Franklin
01420,FITCHBURG,MA,17187,28652,587926246,Worcester
01430,ASHBURNHAM,MA,2914,5364,140443240,Worcester
01431,ASHBY,MA,1508,2749,69220520,Middlesex
01432,AYER,MA,3632,6017,166253356,Middlesex
01436,BALDWINVILLE,MA,1381,2457,53840371,Worcester
01438,EAST TEMPLETON,MA,361,614,12555773,Worcester
01440,GARDNER,MA,8998,15067,321988574,Worcester
01450,GROTON,MA,4806,9198,381835186,Middlesex
01451,HARVARD,MA,2463,4672,254974042,Worcester
01452,HUBBARDSTON,MA,2087,3932,109616431,Worcester
01453,LEOMINSTER,MA,20099,34034,819352735,Worcester
01460,LITTLETON,MA,4327,8001,300228573,Middlesex
01462,LUNENBURG,MA,5090,9073,264013661,Worcester
01463,PEPPERELL,MA,5549,10100,310246738,Middlesex
01464,SHIRLEY,MA,2839,5028,141990255,Middlesex
01468,TEMPLETON,MA,1943,3579,90728674,Worcester
01469,TOWNSEND,MA,3457,6266,175478972,Middlesex
01473,WESTMINSTER,MA,3725,6741,186970799,Worcester
01474,WEST TOWNSEND,MA,1035,1866,50583574,Middlesex
01475,WINCHENDON,MA,4429,7879,171815411,Worcester
01501,AUBURN,MA,8341,14232,392017225,Worcester
01503,BERLIN,MA,1402,2462,88697507,Worcester
01504,BLACKSTONE,MA,4456,7808,198647907,Worcester
01505,BOYLSTON,MA,2235,3993,154598338,Worcester
01506,BROOKFIELD,MA,1665,2920,68732705,Worcester
01507,CHARLTON,MA,5909,10873,321653214,Worcester
01508,CHARLTON CITY,MA,476,795,19633278,Worcester
01510,CLINTON,MA,6969,11365,285300523,Worcester
01515,EAST BROOKFIELD,MA,1124,1985,49848583,Worcester
01516,DOUGLAS,MA,4028,7565,222478072,Worcester
01518,FISKDALE,MA,1438,2639,82818972,Worcester
01519,GRAFTON,MA,3318,6093,242085969,Worcester
01520,HOLDEN,MA,6941,12865,405439753,Worcester
01521,HOLLAND,MA,1198,2069,54360818,Hampden
01522,JEFFERSON,MA,1672,2984,93338120,Worcester
01523,LANCASTER,MA,2642,4777,151622063,Worcester
01524,LEICESTER,MA,3194,5678,148407645,Worcester
01525,LINWOOD,MA,422,677,14775291,Worcester
01526,MANCHAUG,MA,301,475,9841092,Worcester
01527,MILLBURY,MA,6762,11467,305403499,Worcester
01529,MILLVILLE,MA,1473,2734,75109565,Worcester
01531,NEW BRAINTREE,MA,487,865,20971624,Worcester
01532,NORTHBOROUGH,MA,7078,13113,516896493,Worcester
01534,NORTHBRIDGE,MA,2672,4939,156930919,Worcester
01535,NORTH BROOKFIELD,MA,2223,3925,90390169,Worcester
01536,NORTH GRAFTON,MA,3265,5828,214773967,Worcester
01537,NORTH OXFORD,MA,1186,1951,51233021,Worcester
01538,NORTH UXBRIDGE,MA,303,491,10088473,Worcester
01540,OXFORD,MA,5450,9660,250160644,Worcester
01541,PRINCETON,MA,1745,3224,122908259,Worcester
01542,ROCHDALE,MA,1097,1907,48317521,Worcester
01543,RUTLAND,MA,3637,6893,201965675,Worcester
01545,SHREWSBURY,MA,16729,30759,1128461189,Worcester
01550,SOUTHBRIDGE,MA,8034,13355,264900140,Worcester
01560,SOUTH GRAFTON,MA,2022,3675,123503278,Worcester
01561,SOUTH LANCASTER,MA,568,925,18926831,Worcester
01562,SPENCER,MA,5651,9747,232817923,Worcester
01564,STERLING,MA,3839,7104,239389583,Worcester
01566,STURBRIDGE,MA,3285,5934,191789589,Worcester
01568,UPTON,MA,3397,6440,252289215,Worcester
01569,UXBRIDGE,MA,6139,11159,328316045,Worcester
01570,WEBSTER,MA,8006,13308,313419006,Worcester
01571,DUDLEY,MA,5172,9200,235495072,Worcester
01581,WESTBOROUGH,MA,9083,16691,693485763,Worcester
01583,WEST BOYLSTON,MA,3436,5947,167563662,Worcester
01585,WEST BROOKFIELD,MA,2050,3585,86993358,Worcester
01588,WHITINSVILLE,MA,4481,7937,211143983,Worcester
01590,SUTTON,MA,4143,7702,275754993,Worcester
01602,WORCESTER,MA,10972,18196,445928427,Worcester
01603,WORCESTER,MA,8883,14610,289747671,Worcester
01604,WORCESTER,MA,16668,26294,593553007,Worcester
01605,WORCESTER,MA,11163,18175,376578350,Worcester
01606,WORCESTER,MA,10145,16439,425117263,Worcester
01607,WORCESTER,MA,3827,6146,126734994,Worcester
01608,WORCESTER,MA,1601,2396,40674871,Worcester
01609,WORCESTER,MA,7490,11815,326051307,Worcester
01610,WORCESTER,MA,7853,12571,189128798,Worcester
01611,CHERRY VALLEY,MA,1047,1777,40897361,Worcester
01612,PAXTON,MA,2132,3934,118020759,Worcester
01613,WORCESTER,MA,709,1083,22023587,Worcester
01701,FRAMINGHAM,MA,15887,27821,961763655,Middlesex
01702,FRAMINGHAM,MA,14486,23402,578622599,Middlesex
01718,VILLAGE OF NAGOG WOODS,MA,306,580,23316067,Middlesex
01719,BOXBOROUGH,MA,2581,4749,212380442,Middlesex
01720,ACTON,MA,9967,19114,917472012,Middlesex
01721,ASHLAND,MA,8260,14769,564386680,Middlesex
01730,BEDFORD,MA,6588,11940,472027119,Middlesex
01731,HANSCOM AFB,MA,596,1343,28379331,Middlesex
01740,BOLTON,MA,2293,4456,228442687,Worcester
01741,CARLISLE,MA,2421,4692,296809193,Middlesex
01742,CONCORD,MA,8368,15042,923189072,Middlesex
01745,FAYVILLE,MA,260,430,16369021,Worcester
01746,HOLLISTON,MA,6833,12696,495435566,Middlesex
01747,HOPEDALE,MA,2930,5323,171710225,Worcester
01748,HOPKINTON,MA,6710,13078,748848462,Middlesex
01749,HUDSON,MA,9567,16503,486605672,Middlesex
01752,MARLBOROUGH,MA,18751,31660,964186782,Middlesex
01754,MAYNARD,MA,5205,8873,279411027,Middlesex
01756,MENDON,MA,2753,5234,188037787,Worcester
01757,MILFORD,MA,13109,22801,656271057,Worcester
01760,NATICK,MA,16452,28611,1168655429,Middlesex
01770,SHERBORN,MA,2084,3937,306490259,Middlesex
01772,SOUTHBOROUGH,MA,4493,8678,514538912,Worcester
01773,LINCOLN,MA,2763,4870,321098889,Middlesex
01775,STOW,MA,3257,6132,266358773,Middlesex
01776,SUDBURY,MA,8219,16252,1120565191,Middlesex
01778,WAYLAND,MA,6632,12273,695050435,Middlesex
01801,WOBURN,MA,20667,33608,978759571,Middlesex
01803,BURLINGTON,MA,12671,22104,728010164,Middlesex
01810,ANDOVER,MA,16462,30346,1580077483,Essex
01821,BILLERICA,MA,15356,26961,813476069,Middlesex
01824,CHELMSFORD,MA,12912,23196,794814017,Middlesex
01826,DRACUT,MA,15154,26388,726580209,Middlesex
01827,DUNSTABLE,MA,1501,2850,110787540,Middlesex
01830,HAVERHILL,MA,11673,19190,466330158,Essex
01831,HAVERHILL,MA,405,632,11201384,Essex
01832,HAVERHILL,MA,10565,17585,444440190,Essex
01833,GEORGETOWN,MA,3920,7314,260401999,Essex
01834,GROVELAND,MA,3269,5915,174613020,Essex
01835,HAVERHILL,MA,6959,11875,334394319,Essex
01840,LAWRENCE,MA,2254,3383,49781192,Essex
01841,LAWRENCE,MA,20076,33432,444889883,Essex
01842,LAWRENCE,MA,737,1174,17996815,Essex
01843,LAWRENCE,MA,11158,18352,322711763,Essex
01844,METHUEN,MA,23900,40836,1022105701,Essex
01845,NORTH ANDOVER,MA,13498,24329,1013667992,Essex
01850,LOWELL,MA,6713,11001,222920009,Middlesex
01851,LOWELL,MA,14318,23694,484739887,Middlesex
01852,LOWELL,MA,15022,23950,573609990,Middlesex
01853,LOWELL,MA,824,1292,24480415,Middlesex
01854,LOWELL,MA,10714,17446,373376711,Middlesex
01860,MERRIMAC,MA,3147,5611,163224398,Essex
01862,NORTH BILLERICA,MA,4758,8263,252218694,Middlesex
01863,NORTH CHELMSFORD,MA,4556,7753,242656795,Middlesex
01864,NORTH READING,MA,7430,13411,518665929,Middlesex
01867,READING,MA,11926,21499,808066167,Middlesex
01876,TEWKSBURY,MA,14632,25645,790024913,Middlesex
01879,TYNGSBORO,MA,5661,10293,339893447,Middlesex
01880,WAKEFIELD,MA,13167,22162,735717051,Middlesex
01886,WESTFORD,MA,10483,20376,903344951,Middlesex
01887,WILMINGTON,MA,11156,20129,650187308,Middlesex
01890,WINCHESTER,MA,10388,19213,1111445187,Middlesex
01901,LYNN,MA,830,1155,22363981,Essex
01902,LYNN,MA,18627,30268,565476884,Essex
01903,LYNN,MA,531,851,13606118,Essex
01904,LYNN,MA,9483,15967,410272489,Essex
01905,LYNN,MA,10956,18244,354099148,Essex
01906,SAUGUS,MA,14041,23413,620455165,Essex
01907,SWAMPSCOTT,MA,7121,12470,515417527,Essex
01908,NAHANT,MA,1899,3119,117963798,Essex
01913,AMESBURY,MA,8287,14037,413947797,Essex
01915,BEVERLY,MA,18857,31324,1018589958,Essex
01921,BOXFORD,MA,3837,7331,381701356,Essex
01922,BYFIELD,MA,1555,2848,99724975,Essex
01923,DANVERS,MA,13881,23360,685252309,Essex
01929,ESSEX,MA,1700,2928,97298087,Essex
01930,GLOUCESTER,MA,14448,23856,614688891,Essex
01931,GLOUCESTER,MA,305,442,9595291,Essex
01938,IPSWICH,MA,6782,11683,408617757,Essex
01940,LYNNFIELD,MA,6071,10993,435804121,Essex
01944,MANCHESTER,MA,2653,4620,310949772,Essex
01945,MARBLEHEAD,MA,10228,18127,840108977,Essex
01949,MIDDLETON,MA,3864,6965,254574362,Essex
01950,NEWBURYPORT,MA,9069,15198,572238594,Essex
01951,NEWBURY,MA,1885,3207,105731108,Essex
01952,SALISBURY,MA,4142,6787,162040336,Essex
01960,PEABODY,MA,26295,43688,1088161990,Essex
01966,ROCKPORT,MA,3847,6287,163627573,Essex
01969,ROWLEY,MA,2926,5259,182610213,Essex
01970,SALEM,MA,20662,32194,863806447,Essex
01982,SOUTH HAMILTON,MA,3513,6501,296420268,Essex
01983,TOPSFIELD,MA,2931,5449,271569529,Essex
01984,WENHAM,MA,1876,3350,194528459,Essex
01985,WEST NEWBURY,MA,2066,3927,162385929,Essex
02019,BELLINGHAM,MA,8331,14707,436408085,Norfolk
02020,BRANT ROCK,MA,416,661,19450731,Plymouth
02021,CANTON,MA,10887,18954,736904131,Norfolk
02025,COHASSET,MA,3485,6515,426391994,Norfolk
02026,DEDHAM,MA,12176,20528,707820906,Norfolk
02030,DOVER,MA,2711,5123,457532501,Norfolk
02032,EAST WALPOLE,MA,2082,3705,133930220,Norfolk
02035,FOXBORO,MA,8487,14783,525453762,Norfolk
02038,FRANKLIN,MA,14611,27220,1034537207,Norfolk
02041,GREEN HARBOR,MA,478,770,21608051,Plymouth
02043,HINGHAM,MA,10776,19512,1130691780,Plymouth
02045,HULL,MA,5743,8990,266299156,Plymouth
02047,HUMAROCK,MA,377,595,13510944,Plymouth
02048,MANSFIELD,MA,10991,20294,759154956,Bristol
02050,MARSHFIELD,MA,10824,19432,661846583,Plymouth
02051,MARSHFIELD HILLS,MA,366,661,23010585,Plymouth
02052,MEDFIELD,MA,5769,11150,619598333,Norfolk
02053,MEDWAY,MA,6104,11358,420760791,Norfolk
02054,MILLIS,MA,4029,7110,226979837,Norfolk
02056,NORFOLK,MA,4404,8410,358517844,Norfolk
02061,NORWELL,MA,4995,9372,447651996,Plymouth
02062,NORWOOD,MA,14728,24326,730265400,Norfolk
02065,OCEAN BLUFF,MA,253,388,9161055,Plymouth
02066,SCITUATE,MA,8348,14992,603071866,Plymouth
02067,SHARON,MA,8450,16154,684110024,Norfolk
02071,SOUTH WALPOLE,MA,508,934,31599301,Norfolk
02072,STOUGHTON,MA,13827,23389,636047711,Norfolk
02081,WALPOLE,MA,9254,16471,634612432,Norfolk
02090,WESTWOOD,MA,7025,13095,668334964,Norfolk
02093,WRENTHAM,MA,5183,9499,365975278,Norfolk
02108,BOSTON,MA,2348,3312,388783474,Suffolk
02109,BOSTON,MA,2966,4145,284385612,Suffolk
02110,BOSTON,MA,2950,4313,231268950,Suffolk
02111,BOSTON,MA,2964,4467,315024986,Suffolk
02112,BOSTON,MA,306,417,9674464,Suffolk
02113,BOSTON,MA,4124,4799,229434216,Suffolk
02114,BOSTON,MA,6447,8116,551322326,Suffolk
02115,BOSTON,MA,7970,9923,460529282,Suffolk
02116,BOSTON,MA,10214,13687,1351420353,Suffolk
02117,BOSTON,MA,309,396,13001966,Suffolk
02118,BOSTON,MA,12160,16795,893323735,Suffolk
02119,ROXBURY,MA,11195,17302,323494957,Suffolk
02120,ROXBURY CROSSING,MA,4992,7048,138391265,Suffolk
02121,DORCHESTER,MA,10281,16415,265819434,Suffolk
02122,DORCHESTER,MA,10504,16592,367358854,Suffolk
02123,BOSTON,MA,270,359,9359735,Suffolk
02124,DORCHESTER CENTER,MA,21343,33570,728309811,Suffolk
02125,DORCHESTER,MA,14981,22994,501492850,Suffolk
02126,MATTAPAN,MA,12276,19266,399176436,Suffolk
02127,BOSTON,MA,17811,24051,945515117,Suffolk
02128,BOSTON,MA,17518,27419,545015569,Suffolk
02129,CHARLESTOWN,MA,9245,13311,726941650,Suffolk
02130,JAMAICA PLAIN,MA,19207,27060,930225860,Suffolk
02131,ROSLINDALE,MA,15098,23881,637197973,Suffolk
02132,WEST ROXBURY,MA,13457,21756,751009680,Suffolk
02134,ALLSTON,MA,9592,12051,310662266,Suffolk
02135,BRIGHTON,MA,21268,27370,855471186,Suffolk
02136,HYDE PARK,MA,14261,23209,549863633,Suffolk
02138,CAMBRIDGE,MA,15668,21578,1027911979,Middlesex
02139,CAMBRIDGE,MA,19543,25969,971287414,Middlesex
02140,CAMBRIDGE,MA,9746,14277,528814265,Middlesex
02141,CAMBRIDGE,MA,6125,8418,310303911,Middlesex
02142,CAMBRIDGE,MA,1504,2011,109677520,Middlesex
02143,SOMERVILLE,MA,13983,18622,593097281,Middlesex
02144,SOMERVILLE,MA,13800,18051,665824100,Middlesex
02145,SOMERVILLE,MA,12724,18704,460150998,Middlesex
02148,MALDEN,MA,29313,47104,1135121207,Middlesex
02149,EVERETT,MA,18742,30367,612913534,Middlesex
02150,CHELSEA,MA,14659,23718,451124760,Suffolk
02151,REVERE,MA,24321,38954,817248740,Suffolk
02152,WINTHROP,MA,8929,14181,397723233,Suffolk
02155,MEDFORD,MA,28812,44783,1320430597,Middlesex
02163,BOSTON,MA,630,723,46464955,Suffolk
02169,QUINCY,MA,28140,43214,1238343865,Norfolk
02170,QUINCY,MA,10181,16193,417072030,Norfolk
02171,QUINCY,MA,10118,15503,471739743,Norfolk
02176,MELROSE,MA,13768,23311,809527855,Middlesex
02180,STONEHAM,MA,11515,19086,590223756,Middlesex
02184,BRAINTREE,MA,17935,30406,941914537,Norfolk
02186,MILTON,MA,12912,22628,1001964272,Norfolk
02188,WEYMOUTH,MA,7491,12116,342621794,Norfolk
02189,EAST WEYMOUTH,MA,7242,11769,324178175,Norfolk
02190,SOUTH WEYMOUTH,MA,8381,13851,412748129,Norfolk
02191,NORTH WEYMOUTH,MA,4523,7287,199695113,Norfolk
02196,BOSTON,MA,521,780,56979484,Suffolk
02199,BOSTON,MA,926,1239,131945542,Suffolk
02205,BOSTON,MA,1063,1513,36858731,Suffolk
02210,BOSTON,MA,1130,1495,125277777,Suffolk
02215,BOSTON,MA,6084,7098,288003972,Suffolk
02238,CAMBRIDGE,MA,390,494,13719030,Middlesex
02269,QUINCY,MA,306,426,10946967,Norfolk
02301,BROCKTON,MA,26639,44024,893244392,Plymouth
02302,BROCKTON,MA,14983,25132,542792129,Plymouth
02303,BROCKTON,MA,700,1124,22756824,Plymouth
02322,AVON,MA,2294,3831,98754584,Norfolk
02324,BRIDGEWATER,MA,10960,19223,572230266,Plymouth
02327,BRYANTVILLE,MA,328,526,11061702,Plymouth
02330,CARVER,MA,5278,9328,238966437,Plymouth
02331,DUXBURY,MA,1001,1673,67597887,Plymouth
02332,DUXBURY,MA,6267,11874,568634746,Plymouth
02333,EAST BRIDGEWATER,MA,6652,11875,327489308,Plymouth
02338,HALIFAX,MA,3868,6682,180548770,Plymouth
02339,HANOVER,MA,6726,12397,470365705,Plymouth
02341,HANSON,MA,4716,8504,241589984,Plymouth
02343,HOLBROOK,MA,5444,9085,241242817,Norfolk
02345,MANOMET,MA,800,1276,29463598,Plymouth
02346,MIDDLEBORO,MA,11213,19462,484482940,Plymouth
02347,LAKEVILLE,MA,5080,9319,279793730,Plymouth
02350,MONPONSETT,MA,260,447,10617039,Plymouth
02351,ABINGTON,MA,8076,13780,406154585,Plymouth
02356,NORTH EASTON,MA,5650,10331,422029575,Bristol
02359,PEMBROKE,MA,8334,15037,467870357,Plymouth
02360,PLYMOUTH,MA,25562,44333,1245239211,Plymouth
02362,PLYMOUTH,MA,580,902,23189079,Plymouth
02364,KINGSTON,MA,5918,10556,316836000,Plymouth
02367,PLYMPTON,MA,1394,2488,70555383,Plymouth
02368,RANDOLPH,MA,16060,26599,668926640,Norfolk
02370,ROCKLAND,MA,8794,14690,372071550,Plymouth
02375,SOUTH EASTON,MA,4943,8528,280082384,Bristol
02379,WEST BRIDGEWATER,MA,3484,6030,171202529,Plymouth
02382,WHITMAN,MA,7186,12411,329234328,Plymouth
02420,LEXINGTON,MA,7062,13148,741054557,Middlesex
02421,LEXINGTON,MA,8122,15237,791322042,Middlesex
02445,BROOKLINE,MA,10219,16149,871688763,Norfolk
02446,BROOKLINE,MA,14601,21302,1038890274,Norfolk
02451,WALTHAM,MA,9097,14526,491563149,Middlesex
02452,WALTHAM,MA,6253,9731,321542033,Middlesex
02453,WALTHAM,MA,13382,20076,608496212,Middlesex
02454,WALTHAM,MA,348,473,10362378,Middlesex
02458,NEWTON,MA,6418,10355,498332466,Middlesex
02459,NEWTON CENTER,MA,9031,16153,906510839,Middlesex
02460,NEWTONVILLE,MA,4687,7764,361543245,Middlesex
02461,NEWTON HIGHLANDS,MA,3521,6253,358055277,Middlesex
02462,NEWTON LOWER FALLS,MA,689,1184,50636755,Middlesex
02464,NEWTON UPPER FALLS,MA,1539,2480,93569510,Middlesex
02465,WEST NEWTON,MA,5887,10288,583545368,Middlesex
02466,AUBURNDALE,MA,3366,5838,255483758,Middlesex
02467,CHESTNUT HILL,MA,7725,13071,812720425,Norfolk
02468,WABAN,MA,2772,5140,339797445,Middlesex
02472,WATERTOWN,MA,17710,26221,892807332,Middlesex
02474,ARLINGTON,MA,13880,22275,838343474,Middlesex
02476,ARLINGTON,MA,8505,14383,585309228,Middlesex
02478,BELMONT,MA,12132,21169,955500316,Middlesex
02481,WELLESLEY HILLS,MA,6960,13012,1359908283,Norfolk
02482,WELLESLEY,MA,4782,8821,725439303,Norfolk
02492,NEEDHAM,MA,9394,17587,1060369022,Norfolk
02493,WESTON,MA,5417,9839,1150142875,Middlesex
02494,NEEDHAM HEIGHTS,MA,4334,7910,368848894,Norfolk
02532,BUZZARDS BAY,MA,5340,8780,209927645,Barnstable
02534,CATAUMET,MA,529,855,23227948,Barnstable
02535,CHILMARK,MA,605,1000,19027009,Dukes
02536,EAST FALMOUTH,MA,10060,16726,356859416,Barnstable
02537,EAST SANDWICH,MA,3089,5529,165890731,Barnstable
02538,EAST WAREHAM,MA,2221,3657,75660943,Plymouth
02539,EDGARTOWN,MA,2657,4236,90215623,Dukes
02540,FALMOUTH,MA,3766,5909,137385371,Barnstable
02541,FALMOUTH,MA,392,571,12349354,Barnstable
02542,BUZZARDS BAY,MA,269,581,9999157,Barnstable
02543,WOODS HOLE,MA,563,834,22887085,Barnstable
02553,MONUMENT BEACH,MA,641,1031,24119002,Barnstable
02554,NANTUCKET,MA,5048,7752,195641777,Nantucket
02556,NORTH FALMOUTH,MA,1984,3327,93381259,Barnstable
02557,OAK BLUFFS,MA,1582,2451,48137834,Dukes
02558,ONSET,MA,1195,1831,35269964,Plymouth
02559,POCASSET,MA,1778,2864,61565616,Barnstable
02561,SAGAMORE,MA,432,722,13592049,Barnstable
02562,SAGAMORE BEACH,MA,1655,2870,78102880,Barnstable
02563,SANDWICH,MA,5404,9499,254396980,Barnstable
02568,VINEYARD HAVEN,MA,3755,5903,121204141,Dukes
02571,WAREHAM,MA,5062,8360,183129110,Plymouth
02574,WEST FALMOUTH,MA,625,1002,20285629,Barnstable
02575,WEST TISBURY,MA,1016,1631,33339001,Dukes
